,large_price,large_price,large_price,ex_large_price,ex_large_price,ex_large_price,medium_price,medium_price,medium_price
,mean,min,max,mean,min,max,mean,min,max
date,,,,,,,,,
2024-01-05,2.29,2.2,2.37,2.35,2.22,2.46,2.04,1.96,2.12
2024-01-12,2.19,2.1,2.26,2.25,2.12,2.36,1.99,1.9,2.06
2024-01-19,1.91,1.82,1.98,1.97,1.84,2.08,1.71,1.62,1.78
2024-01-26,1.97,1.88,2.04,2.01,1.9,2.08,1.74,1.66,1.82
2024-02-02,2.43,2.35,2.5,2.47,2.37,2.54,1.96,1.88,2.04
2024-02-09,3.0,2.92,3.08,3.04,2.94,3.12,2.21,2.12,2.28
2024-02-16,3.28,3.2,3.36,3.32,3.22,3.4,2.23,2.14,2.31
2024-02-23,3.28,3.2,3.36,3.32,3.22,3.4,2.23,2.14,2.31
2024-03-01,3.13,3.04,3.2,3.17,3.06,3.24,2.1,2.02,2.17
2024-03-08,2.33,2.24,2.4,2.37,2.26,2.44,1.85,1.76,1.92
2024-03-15,2.22,2.13,2.3,2.26,2.15,2.34,1.86,1.78,1.94
2024-03-22,2.24,2.15,2.32,2.28,2.17,2.36,2.09,2.0,2.16
2024-03-29,2.47,2.38,2.54,2.5,2.4,2.56,2.36,2.28,2.44
2024-04-05,2.49,2.4,2.56,2.52,2.42,2.58,2.38,2.3,2.46
2024-04-12,2.49,2.4,2.56,2.52,2.42,2.58,2.38,2.3,2.46
2024-04-19,2.49,2.4,2.56,2.52,2.42,2.58,2.38,2.3,2.46
2024-04-26,2.49,2.4,2.56,2.52,2.42,2.58,2.38,2.3,2.46
2024-05-03,2.1,2.02,2.17,2.13,2.04,2.18,2.0,1.92,2.08
2024-05-10,1.64,1.56,1.72,1.69,1.58,1.76,1.59,1.5,1.66
2024-05-17,1.55,1.46,1.62,1.6,1.48,1.68,1.51,1.42,1.58
2024-05-24,1.59,1.5,1.66,1.65,1.52,1.74,1.51,1.42,1.58
2024-05-31,1.98,1.9,2.06,2.05,1.92,2.14,1.68,1.62,1.74
2024-06-07,2.36,2.28,2.44,2.46,2.3,2.58,1.76,1.68,1.84
2024-06-14,2.55,2.46,2.62,2.66,2.48,2.8,2.01,1.92,2.08
2024-06-21,2.59,2.5,2.66,2.69,2.52,2.82,2.19,2.1,2.26
2024-06-28,2.57,2.48,2.64,2.67,2.5,2.8,2.19,2.1,2.26
2024-07-05,2.45,2.37,2.52,2.56,2.38,2.7,2.13,2.04,2.2
2024-07-12,2.35,2.28,2.44,2.45,2.3,2.6,1.86,1.8,1.96
2024-07-19,2.34,2.26,2.42,2.44,2.28,2.56,1.75,1.66,1.82
2024-07-26,2.43,2.35,2.5,2.54,2.37,2.68,1.69,1.6,1.76
2024-08-02,2.75,2.66,2.82,2.86,2.68,3.0,1.69,1.6,1.76
2024-08-09,3.17,3.08,3.24,3.28,3.1,3.42,1.75,1.66,1.82
2024-08-16,3.65,3.56,3.72,3.76,3.58,3.9,2.03,1.94,2.1
2024-08-23,4.02,3.94,4.1,4.13,3.96,4.28,2.16,2.08,2.24
2024-08-30,4.34,4.26,4.42,4.45,4.28,4.6,2.7,2.62,2.78
2024-09-06,4.43,4.34,4.5,4.53,4.36,4.66,3.08,3.0,3.16
2024-09-13,4.13,4.04,4.2,4.23,4.07,4.36,3.14,3.06,3.22
2024-09-20,2.98,2.9,3.06,3.08,2.92,3.2,2.59,2.5,2.66
2024-09-27,2.3,2.22,2.38,2.39,2.24,2.5,2.14,2.06,2.22
2024-10-04,2.12,2.04,2.19,2.18,2.06,2.28,1.94,1.86,2.02
2024-10-11,2.12,2.04,2.19,2.18,2.06,2.28,1.94,1.86,2.02
2024-10-18,2.24,2.15,2.32,2.3,2.17,2.4,2.06,1.98,2.13
2024-10-25,3.02,2.94,3.1,3.09,2.96,3.18,2.77,2.68,2.84
2024-11-01,4.09,4.0,4.16,4.15,4.01,4.24,3.49,3.4,3.56
2024-11-08,4.42,4.32,4.49,4.48,4.34,4.58,3.92,3.84,4.0
2024-11-15,4.3,4.2,4.36,4.36,4.22,4.46,3.86,3.78,3.94
2024-11-22,4.17,4.08,4.24,4.23,4.1,4.32,3.79,3.7,3.86
2024-11-29,4.17,4.08,4.24,4.23,4.1,4.32,3.79,3.7,3.86
2024-12-06,3.94,3.86,4.01,4.0,3.88,4.08,3.55,3.46,3.62
2024-12-13,3.84,3.76,3.92,3.9,3.78,3.98,3.45,3.36,3.52
2024-12-20,4.55,4.46,4.62,4.6,4.49,4.68,3.68,3.6,3.76
2024-12-27,5.59,5.5,5.68,5.64,5.52,5.74,3.93,3.84,4.0
